index|lemma|human_readable_pos|definition|synset_key_name|example|new_sentence
3021|better|adjective|(comparative and superlative of `well') wiser or more advantageous and hence advisable|better.s.03|It would be better for joel and uncle randolph and mrs. tussle not to see them.|Staying organized will help you manage your time better when working on a big project.
3022|better|adjective|(comparative and superlative of `well') wiser or more advantageous and hence advisable|better.s.03|It would be better for joel and uncle randolph and mrs. tussle not to see them.|It would be better to start early if we want to reach there on time.
3023|better|adjective|(comparative and superlative of `well') wiser or more advantageous and hence advisable|better.s.03|It would be better for joel and uncle randolph and mrs. tussle not to see them.|It would be better for you to study now rather than playing video games.
3024|better|adjective|(comparative and superlative of `well') wiser or more advantageous and hence advisable|better.s.03|It would be better for joel and uncle randolph and mrs. tussle not to see them.|It's better to leave early in the morning when there is no traffic on the roads.
3025|better|adjective|(comparative and superlative of `well') wiser or more advantageous and hence advisable|better.s.03|It would be better for joel and uncle randolph and mrs. tussle not to see them.|It's better if you start your work now rather than procrastinating.
3026|better|adjective|(comparative of `good') changed for the better in health or fitness|better.a.02|A better life.|After gradually adopting a healthier diet and exercise routine, George started to feel better than he had in years.
3027|better|adjective|(comparative of `good') changed for the better in health or fitness|better.a.02|A better life.|After sticking to a strict exercise routine and healthier diet, Sarah was feeling much better than she had in years.
3028|better|adjective|(comparative of `good') changed for the better in health or fitness|better.a.02|A better life.|After just one week of exercise, Jane already feels better than she did before.
3029|better|adjective|(comparative of `good') changed for the better in health or fitness|better.a.02|A better life.|After taking some medication and getting some rest, Justin felt a lot better than he did this morning.
3030|better|adjective|(comparative of `good') changed for the better in health or fitness|better.a.02|A better life.|Since quitting smoking, Tony has started to feel better.
3031|better|adjective|(comparative of `good') changed for the better in health or fitness|better.a.02|A better life.|Ever since she started exercising regularly, her overall health has significantly improved and she feels much better.
3032|better|adjective|(comparative of `good') changed for the better in health or fitness|better.a.02|A better life.|After following the diet and exercising regularly, John's health has drastically improved and he feels better than ever before.
3033|break|verb|be broken in|break.v.22|If the new teacher won't break, we'll add some stress|I love riding my bike, but it's a bit stiff - I think it just needs to be broken in.
3034|window|noun|a transparent panel (as of an envelope) inserted in an otherwise opaque material|window.n.03|The round cells were reproducibly positioned in the light beam which entered the thermostated mineral oil bath through a window.|I can't read the address on the prescription because it's covered by the opaque tape, but there's a small window where I can see the patient's name.
3035|window|noun|a transparent panel (as of an envelope) inserted in an otherwise opaque material|window.n.03|The round cells were reproducibly positioned in the light beam which entered the thermostated mineral oil bath through a window.|The package had a small window that showed what was inside.
3036|window|noun|a transparent panel (as of an envelope) inserted in an otherwise opaque material|window.n.03|The round cells were reproducibly positioned in the light beam which entered the thermostated mineral oil bath through a window.|She perfectly positioned the address labels in the address window, masking the messy handwriting inside.
3037|window|noun|a transparent panel (as of an envelope) inserted in an otherwise opaque material|window.n.03|The round cells were reproducibly positioned in the light beam which entered the thermostated mineral oil bath through a window.|She printed her address on a piece of paper and slid it into the window of the unmarked envelope.
3038|window|noun|a transparent panel (as of an envelope) inserted in an otherwise opaque material|window.n.03|The round cells were reproducibly positioned in the light beam which entered the thermostated mineral oil bath through a window.|Before opening a chat window, I read through the message written on the ______ attached to the package.
3039|window|noun|a transparent panel (as of an envelope) inserted in an otherwise opaque material|window.n.03|The round cells were reproducibly positioned in the light beam which entered the thermostated mineral oil bath through a window.|I could see my name on the glossy fluorescent label attached to the opposing undersurfaces of the window lettres inserted in coaccessible mail sorter aperture.
3040|window|noun|a transparent panel (as of an envelope) inserted in an otherwise opaque material|window.n.03|The round cells were reproducibly positioned in the light beam which entered the thermostated mineral oil bath through a window.|The envelope has a window for the recipient's address.
3041|window|noun|a transparent panel (as of an envelope) inserted in an otherwise opaque material|window.n.03|The round cells were reproducibly positioned in the light beam which entered the thermostated mineral oil bath through a window.|He needed to adjust the location of the address label inside the window of the envelope.
3042|window|noun|a transparent panel (as of an envelope) inserted in an otherwise opaque material|window.n.03|The round cells were reproducibly positioned in the light beam which entered the thermostated mineral oil bath through a window.|I could barely make out the contents of the envelope, but through the small window I could see a slip of white paper inside.
3043|window|noun|a transparent panel (as of an envelope) inserted in an otherwise opaque material|window.n.03|The round cells were reproducibly positioned in the light beam which entered the thermostated mineral oil bath through a window.|She admires the artwork hanging on her wall through the small window of the envelope.
3044|window|noun|a transparent panel (as of an envelope) inserted in an otherwise opaque material|window.n.03|The round cells were reproducibly positioned in the light beam which entered the thermostated mineral oil bath through a window.|The invoice was enclosed in an envelope with a window so that the address could be typed on it.
3045|window|noun|a transparent panel (as of an envelope) inserted in an otherwise opaque material|window.n.03|The round cells were reproducibly positioned in the light beam which entered the thermostated mineral oil bath through a window.|The envelope had a window in it so that the recipient's address could be seen.
3046|window|noun|a transparent panel (as of an envelope) inserted in an otherwise opaque material|window.n.03|The round cells were reproducibly positioned in the light beam which entered the thermostated mineral oil bath through a window.|She admired the scenic stamp through the window of the clear envelope.
3047|window|noun|a transparent panel (as of an envelope) inserted in an otherwise opaque material|window.n.03|The round cells were reproducibly positioned in the light beam which entered the thermostated mineral oil bath through a window.|The photograph was visible through the window on the front of the envelope.
3048|window|noun|a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened|window.n.02|Then, when he had it pointed down the hill, he stopped to gaze at her through the window.|I love rolling down the window and feeling the wind in my hair as I drive along the coast.
3049|window|noun|a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened|window.n.02|Then, when he had it pointed down the hill, he stopped to gaze at her through the window.|The kids love sticking their head outside the car window during road trips to feel the wind in their hair.
3050|window|noun|a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened|window.n.02|Then, when he had it pointed down the hill, he stopped to gaze at her through the window.|She loves feeling the breeze on her face as she leans out of the car window.
3051|window|noun|a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened|window.n.02|Then, when he had it pointed down the hill, he stopped to gaze at her through the window.|She loves to feel the wind in her hair when she opens the car window whilst cruising along.
3052|window|noun|a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened|window.n.02|Then, when he had it pointed down the hill, he stopped to gaze at her through the window.|She rolled down the window to get some fresh air while driving.
3053|window|noun|a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened|window.n.02|Then, when he had it pointed down the hill, he stopped to gaze at her through the window.|I opened the car window to enjoy the fresh breeze on my face as I was driving.
3054|window|noun|a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened|window.n.02|Then, when he had it pointed down the hill, he stopped to gaze at her through the window.|She leaned her elbow on the window of the car and looked out.
3055|window|noun|a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened|window.n.02|Then, when he had it pointed down the hill, he stopped to gaze at her through the window.|She loved sticking her head out of the window and feeling the wind blow through her hair while traveling on road trips.
3056|window|noun|a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened|window.n.02|Then, when he had it pointed down the hill, he stopped to gaze at her through the window.|I opened the car window to feel the cool breeze on my face.
3057|window|noun|a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened|window.n.02|Then, when he had it pointed down the hill, he stopped to gaze at her through the window.|The car's windows were tinted but still provided a clear view outside.
3058|window|noun|a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened|window.n.02|Then, when he had it pointed down the hill, he stopped to gaze at her through the window.|I love the feeling of fresh breeze through the window of my car during long road trips.
3059|window|noun|a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened|window.n.02|Then, when he had it pointed down the hill, he stopped to gaze at her through the window.|The man gazed out of the car window as they drove through the scenic routes.
3060|window|noun|a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened|window.n.02|Then, when he had it pointed down the hill, he stopped to gaze at her through the window.|I rolled down the car window to feel the fresh breeze.
3061|window|noun|a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened|window.n.02|Then, when he had it pointed down the hill, he stopped to gaze at her through the window.|She leaned out of the car window and shouted at the top of her voice.
3062|forget|verb|be unable to remember|forget.v.02|He forgot the order.|I always forget her birthday, no matter how hard I try to remember.
3063|forget|verb|be unable to remember|forget.v.02|He forgot the order.|I totally forgot his phone number.
3064|forget|verb|forget to do something|forget.v.03|Don't forget to call the chairman of the board to the meeting!|I forgot to grab milk on my way home from work.
3065|forget|verb|forget to do something|forget.v.03|Don't forget to call the chairman of the board to the meeting!|I forgot to turn off the stove before leaving the house.
3066|hope|noun|someone (or something) on which expectations are centered|hope.n.04|he was their best hope for a victory|The new CEO is the team's only hope for a successful turnaround of the company.
3067|natural|adjective|functioning or occurring in a normal way; lacking abnormalities or deficiencies|natural.s.04|natural immunity|The doctor said that my blood pressure is natural and healthy.
3068|house|noun|the members of a religious community living together|house.n.03|Now, not only are there considerably more laity as students and professors at oxford, but there are also numerous houses of religious orders existing in respectable and friendly relations with the non catholic members of the university.|The Franciscan friars living in the adjoining house invite the public for daily masses.
3069|house|noun|the members of a religious community living together|house.n.03|Now, not only are there considerably more laity as students and professors at oxford, but there are also numerous houses of religious orders existing in respectable and friendly relations with the non catholic members of the university.|The nuns lived together in the same house, sharing their daily routines and prayers.
3070|house|noun|the members of a religious community living together|house.n.03|Now, not only are there considerably more laity as students and professors at oxford, but there are also numerous houses of religious orders existing in respectable and friendly relations with the non catholic members of the university.|The Buddhist monks of the monastery belong to the same house.
3071|house|noun|the members of a religious community living together|house.n.03|Now, not only are there considerably more laity as students and professors at oxford, but there are also numerous houses of religious orders existing in respectable and friendly relations with the non catholic members of the university.|The sisters joining the convent receive formation about living a life together in and operating daily additional houses of their cultural cluster as religious communities with equal verticality.
3072|house|noun|the members of a religious community living together|house.n.03|Now, not only are there considerably more laity as students and professors at oxford, but there are also numerous houses of religious orders existing in respectable and friendly relations with the non catholic members of the university.|The house studied and prayed together each day as part of their religious community.
3073|house|noun|the members of a religious community living together|house.n.03|Now, not only are there considerably more laity as students and professors at oxford, but there are also numerous houses of religious orders existing in respectable and friendly relations with the non catholic members of the university.|The devoted nuns lived a happy and peaceful life together in their small house.
3074|house|noun|the members of a religious community living together|house.n.03|Now, not only are there considerably more laity as students and professors at oxford, but there are also numerous houses of religious orders existing in respectable and friendly relations with the non catholic members of the university.|The nuns of the convent were sought after for their many years of collective knowledge on the history of their house.
3075|house|noun|the members of a religious community living together|house.n.03|Now, not only are there considerably more laity as students and professors at oxford, but there are also numerous houses of religious orders existing in respectable and friendly relations with the non catholic members of the university.|The nuns lived in a house provided by the church.
3076|house|noun|the members of a religious community living together|house.n.03|Now, not only are there considerably more laity as students and professors at oxford, but there are also numerous houses of religious orders existing in respectable and friendly relations with the non catholic members of the university.|The nuns' house was on the outskirts of town.
3077|house|noun|the members of a religious community living together|house.n.03|Now, not only are there considerably more laity as students and professors at oxford, but there are also numerous houses of religious orders existing in respectable and friendly relations with the non catholic members of the university.|The priest stayed at the local house of the order while on his sabbatical.
3078|house|noun|the members of a religious community living together|house.n.03|Now, not only are there considerably more laity as students and professors at oxford, but there are also numerous houses of religious orders existing in respectable and friendly relations with the non catholic members of the university.|The new member of the clergy joined the house of nuns in their secluded convent.
3079|house|noun|the members of a religious community living together|house.n.03|Now, not only are there considerably more laity as students and professors at oxford, but there are also numerous houses of religious orders existing in respectable and friendly relations with the non catholic members of the university.|The Buddhist monastery housed a group of ordained monks from different parts of the world.
3080|house|noun|aristocratic family line|house.n.06|We do not deny originality to the agamemnon because aeschylus found the tales of the house of atreus among the folk lore of the greeks.|The scandalous affairs and power struggles of the royal house made front-page news.
3081|house|noun|aristocratic family line|house.n.06|We do not deny originality to the agamemnon because aeschylus found the tales of the house of atreus among the folk lore of the greeks.|The House of Windsor has been the ruling family of the United Kingdom since 1917.
3082|house|noun|aristocratic family line|house.n.06|We do not deny originality to the agamemnon because aeschylus found the tales of the house of atreus among the folk lore of the greeks.|His nobility was due to the ancient linage of his house.
3083|house|noun|aristocratic family line|house.n.06|We do not deny originality to the agamemnon because aeschylus found the tales of the house of atreus among the folk lore of the greeks.|The House of Windsor is one of the most well-known aristocratic family lines in all of England.
3084|house|noun|aristocratic family line|house.n.06|We do not deny originality to the agamemnon because aeschylus found the tales of the house of atreus among the folk lore of the greeks.|The people in my family house have a long history of serving in politics and diplomacy.
3085|house|noun|aristocratic family line|house.n.06|We do not deny originality to the agamemnon because aeschylus found the tales of the house of atreus among the folk lore of the greeks.|She comes from an old English house with deep roots in politics and diplomacy.
3086|house|noun|aristocratic family line|house.n.06|We do not deny originality to the agamemnon because aeschylus found the tales of the house of atreus among the folk lore of the greeks.|She takes pride in her family's noble house.
3087|house|noun|aristocratic family line|house.n.06|We do not deny originality to the agamemnon because aeschylus found the tales of the house of atreus among the folk lore of the greeks.|The House of Windsor is a well-known royal dynasty in Great Britain.
3088|house|noun|aristocratic family line|house.n.06|We do not deny originality to the agamemnon because aeschylus found the tales of the house of atreus among the folk lore of the greeks.|The house of Windsor has long been associated with the throne of England.
3089|house|noun|aristocratic family line|house.n.06|We do not deny originality to the agamemnon because aeschylus found the tales of the house of atreus among the folk lore of the greeks.|She was proud to be a part of the noble house of Windsor.
3090|house|noun|aristocratic family line|house.n.06|We do not deny originality to the agamemnon because aeschylus found the tales of the house of atreus among the folk lore of the greeks.|The newspaper featured an article about the rise and fall of the historically wealthy house of Vanderbilt.
3091|house|noun|aristocratic family line|house.n.06|We do not deny originality to the agamemnon because aeschylus found the tales of the house of atreus among the folk lore of the greeks.|The White House has been a symbol of the US Presidency for many generations of the Kennedy house.
3092|house|noun|the members of a business organization that owns or operates one or more establishments|firm.n.01|he worked for a brokerage house|The House had a meeting to discuss the expansion of their business.
3093|house|noun|the members of a business organization that owns or operates one or more establishments|firm.n.01|he worked for a brokerage house|The house of representatives was dominated by members from the Democratic Party.
3094|house|noun|the members of a business organization that owns or operates one or more establishments|firm.n.01|he worked for a brokerage house|She was promoted to be the general manager of the Seattle branch of the high-profile law firm as well as a member of the executive board of the entire house.
3095|house|noun|the members of a business organization that owns or operates one or more establishments|firm.n.01|he worked for a brokerage house|The house was discussing plans for expanding their restaurant chain.
3096|house|noun|the members of a business organization that owns or operates one or more establishments|firm.n.01|he worked for a brokerage house|The house made a decision to close its branches in smaller towns.
3097|house|noun|the members of a business organization that owns or operates one or more establishments|firm.n.01|he worked for a brokerage house|The CEO of the company met with the heads of various house departments to discuss strategy and profits.
3098|house|noun|the members of a business organization that owns or operates one or more establishments|firm.n.01|he worked for a brokerage house|She was promoted to a position of power in the investment house.
3099|house|noun|the members of a business organization that owns or operates one or more establishments|firm.n.01|he worked for a brokerage house|The house decided to invest in a new restaurant chain.
3100|house|noun|the members of a business organization that owns or operates one or more establishments|firm.n.01|he worked for a brokerage house|The executives of the house decided to open a new branch in the city centre.
3101|house|noun|the members of a business organization that owns or operates one or more establishments|firm.n.01|he worked for a brokerage house|The house decided to expand the company by purchasing a new establishment.
3102|house|noun|the members of a business organization that owns or operates one or more establishments|firm.n.01|he worked for a brokerage house|The house faced issues regarding budget disagreements among the members of the business organization.
3103|house|noun|the members of a business organization that owns or operates one or more establishments|firm.n.01|he worked for a brokerage house|The company's corporate house oversees all of their franchised locations.
3104|house|noun|the audience gathered together in a theatre or cinema|house.n.04|the house applauded|The production received a standing ovation from the entire house.
3105|house|noun|the audience gathered together in a theatre or cinema|house.n.04|the house applauded|The actor bowed to the house and then retreated backstage.
3106|house|noun|the audience gathered together in a theatre or cinema|house.n.04|the house applauded|The house erupted in laughter at the comedians' performance.
3107|house|noun|the audience gathered together in a theatre or cinema|house.n.04|the house applauded|The house quieted down as the movie began.
3108|house|noun|the audience gathered together in a theatre or cinema|house.n.04|the house applauded|The performers paused to acknowledge the enthusiastic response of the house.
3109|house|noun|the audience gathered together in a theatre or cinema|house.n.04|the house applauded|The weather was so good that there was scarcely a house in the Nottingham house during the regular Wednesday reviews.
3110|house|noun|the audience gathered together in a theatre or cinema|house.n.04|the house applauded|Theatergoers spilled out of the house after the riveting performance.
3111|house|noun|the audience gathered together in a theatre or cinema|house.n.04|the house applauded|The actor peeked through the curtains and scanned the house to see a packed theater with a full audience.
3112|house|noun|the audience gathered together in a theatre or cinema|house.n.04|the house applauded|The house was packed for the opening night of the play.
3113|house|noun|the audience gathered together in a theatre or cinema|house.n.04|the house applauded|The house erupted in laughter at the comedian's joke.
3114|house|noun|the audience gathered together in a theatre or cinema|house.n.04|the house applauded|The house was dejected as the movie ended without any twist.
3115|house|noun|the audience gathered together in a theatre or cinema|house.n.04|the house applauded|The comedic actor received a standing ovation from the house for his hilarious performance.
3116|house|noun|an official assembly having legislative powers|house.n.05|a bicameral legislature has two houses|The proposed bill was voted on and passed unanimously in the lower house of parliament.
3117|house|noun|an official assembly having legislative powers|house.n.05|a bicameral legislature has two houses|The House of Representatives is part of the United States Congress.
3118|house|noun|an official assembly having legislative powers|house.n.05|a bicameral legislature has two houses|The House of Representatives passed the bill with a vote of 235 to 185.
3119|house|noun|an official assembly having legislative powers|house.n.05|a bicameral legislature has two houses|The bill was discussed and voted on in the lower house of the legislature.
3120|house|noun|an official assembly having legislative powers|house.n.05|a bicameral legislature has two houses|The bill passed through the lower house of Congress yesterday.
3121|house|noun|an official assembly having legislative powers|house.n.05|a bicameral legislature has two houses|The members of the House spent hours debating the proposed healthcare bill.
3122|house|noun|an official assembly having legislative powers|house.n.05|a bicameral legislature has two houses|The bills passed through both houses of Congress before being sent to the President for signature.
3123|house|noun|an official assembly having legislative powers|house.n.05|a bicameral legislature has two houses|Members of the House of Representatives will debate the proposed bill next week.
3124|house|noun|an official assembly having legislative powers|house.n.05|a bicameral legislature has two houses|The bill was approved by both houses of Congress.
3125|house|noun|an official assembly having legislative powers|house.n.05|a bicameral legislature has two houses|The bill was voted down by the house of representatives.
3126|house|noun|an official assembly having legislative powers|house.n.05|a bicameral legislature has two houses|The House of Representatives is one of the two branches of the United States Congress.
3127|house|noun|an official assembly having legislative powers|house.n.05|a bicameral legislature has two houses|The bill passed the lower house of the legislature, but did not receive enough votes in the upper house to become law.
3128|house|noun|play in which children take the roles of father or mother or children and pretend to interact like adults|house.n.07|the children were playing house|During their play date, the kids spent hours playing house and pretending to cook dinner together.
3129|house|noun|play in which children take the roles of father or mother or children and pretend to interact like adults|house.n.07|the children were playing house|The kids were quiet and happy as they played house in the backyard.
3130|house|noun|play in which children take the roles of father or mother or children and pretend to interact like adults|house.n.07|the children were playing house|The neighborhood kids were having a great time playing house in the backyard.
3131|house|noun|play in which children take the roles of father or mother or children and pretend to interact like adults|house.n.07|the children were playing house|Can I play house with my little sister?
3132|house|noun|play in which children take the roles of father or mother or children and pretend to interact like adults|house.n.07|the children were playing house|The kids played house while pretending to have their own homes, jobs, and families.
3133|house|noun|play in which children take the roles of father or mother or children and pretend to interact like adults|house.n.07|the children were playing house|The kids were playing house and pretending to be a family with a mom, dad, and their children.
3134|house|noun|play in which children take the roles of father or mother or children and pretend to interact like adults|house.n.07|the children were playing house|The children were having a great time playing house and pretending to be grown-ups.
3135|house|noun|play in which children take the roles of father or mother or children and pretend to interact like adults|house.n.07|the children were playing house|My favorite childhood memory was when my friends and I used to play house for hours in my backyard.
3136|house|noun|play in which children take the roles of father or mother or children and pretend to interact like adults|house.n.07|the children were playing house|The siblings enjoyed creating their own world while playing house.
3137|house|noun|play in which children take the roles of father or mother or children and pretend to interact like adults|house.n.07|the children were playing house|Every weekend, our kids love to play house, pretending to be all grown up with their own house and family.
3138|house|noun|play in which children take the roles of father or mother or children and pretend to interact like adults|house.n.07|the children were playing house|"The group of children enjoyed playing ""houses"" in the backyard pretending to be all grown-up."
3139|house|noun|play in which children take the roles of father or mother or children and pretend to interact like adults|house.n.07|the children were playing house|"The kids loved to play house, and each took turns spoiling their ""children"" with silly activities."
3140|big|adjective|conspicuous in position or importance|big.s.05|big man on campus|The CEO of the company was a big player in the industry.
3141|big|adjective|conspicuous in position or importance|big.s.05|big man on campus|The CEO of the company was a big name in the industry.
3142|big|adjective|conspicuous in position or importance|big.s.05|big man on campus|As the CEO of the company, he was a big player in the industry.
3143|big|adjective|conspicuous in position or importance|big.s.05|big man on campus|She was thrilled to be interviewing the big-name celebrity for her magazine.
3144|big|adjective|conspicuous in position or importance|big.s.05|big man on campus|The company's CEO was a big name in the industry.
3145|big|adjective|conspicuous in position or importance|big.s.05|big man on campus|John became a big shot in the music industry after producing several hit records.
3146|big|adjective|conspicuous in position or importance|big.s.05|big man on campus|As the CEO, he was the big boss in the company.
3147|big|adjective|conspicuous in position or importance|big.s.05|big man on campus|The CEO of the company was described as that big boss among the employees.
3148|big|adjective|conspicuous in position or importance|big.s.05|big man on campus|The CEO of the company was a big name in the business world.
3149|big|adjective|conspicuous in position or importance|big.s.05|big man on campus|The CEO of the company was a big name in the industry.
3150|big|adjective|conspicuous in position or importance|big.s.05|big man on campus|Being CEO of the company has made him the big man on campus amongst his colleagues.
3151|big|adjective|loud and firm|big.s.04|a big voice|He had a big laugh that echoed throughout the room.
3152|big|adjective|loud and firm|big.s.04|a big voice|The singer had a big voice that filled the concert hall.
3153|big|adjective|loud and firm|big.s.04|a big voice|She used a big voice to scold her puppies for digging in the garden.
3154|big|adjective|loud and firm|big.s.04|a big voice|The coach's big voice echoed through the stadium, barking out orders.
3155|big|adjective|loud and firm|big.s.04|a big voice|The coach's big voice could be heard from across the field, urging his players to run faster.
3156|big|adjective|loud and firm|big.s.04|a big voice|He spoke with a big voice that command attention from the entire room.
3157|big|adjective|loud and firm|big.s.04|a big voice|He spoke with a big voice that filled the entire room.
3158|big|adjective|loud and firm|big.s.04|a big voice|He gave a big and booming speech that each even those in the back could hear it clearly.
3159|big|adjective|loud and firm|big.s.04|a big voice|He yelled at the top of her big voice to get everyone's attention.
3160|big|adjective|loud and firm|big.s.04|a big voice|John shouted with a big voice to make himself heard in the noisy room.
3161|big|adjective|loud and firm|big.s.04|a big voice|The actor's big voice filled the theater and silenced the audience.
3162|big|adjective|very intense|bad.s.02|in a big rage|Her anger was so big that it shook the entire room.
3163|big|adjective|very intense|bad.s.02|in a big rage|The argument turned into a big fight.
3164|big|adjective|very intense|bad.s.02|in a big rage|The stadium crowd was in a big uproar after the politician's controversial statement.
3165|big|adjective|very intense|bad.s.02|in a big rage|She was in a big hurry to catch the train.
3166|big|adjective|very intense|bad.s.02|in a big rage|She was in a big hurry to get to work this morning.
3167|big|adjective|very intense|bad.s.02|in a big rage|The argument between the two friends escalated into a big fight.
3168|big|adjective|very intense|bad.s.02|in a big rage|Jane was in a big hurry to catch the train!
3169|big|adjective|very intense|bad.s.02|in a big rage|After losing the championship game, he was in a big rage and smashed his tennis racket.
3170|big|adjective|very intense|bad.s.02|in a big rage|The final scene of the movie was a big and emotional portrayal of the protagonist's journey.
3171|big|adjective|very intense|bad.s.02|in a big rage|There was a big storm last night.
3172|big|adjective|very intense|bad.s.02|in a big rage|She was in a big hurry to catch her flight.
3173|big|adjective|significant|big.s.02|graduation was a big day in his life|Winning this award is a big accomplishment in my career.
3174|big|adjective|significant|big.s.02|graduation was a big day in his life|Receiving the award was a big accomplishment for her.
3175|big|adjective|significant|big.s.02|graduation was a big day in his life|Winning the race was a big achievement for him.
3176|big|adjective|significant|big.s.02|graduation was a big day in his life|Winning the championship was a big accomplishment for our team.
3177|big|adjective|significant|big.s.02|graduation was a big day in his life|Winning the championship was a big achievement for the team.
3178|big|adjective|significant|big.s.02|graduation was a big day in his life|Getting the new promotion was a big achievement for John, he spent years dreaming of realizing this significant moment in his career.
3179|big|adjective|significant|big.s.02|graduation was a big day in his life|Winning this competition would mean a big boost in her career.
3180|big|adjective|significant|big.s.02|graduation was a big day in his life|Winning the award was a big achievement in her career.
3181|big|adjective|significant|big.s.02|graduation was a big day in his life|The big problem with the new system was the lack of compatibility with existing software.
3182|big|adjective|significant|big.s.02|graduation was a big day in his life|Winning that scholarship was a big moment for her.
3183|big|adjective|significant|big.s.02|graduation was a big day in his life|It was a big moment in history when the first man landed on the moon.
3184|notice|verb|notice or perceive|notice.v.02|`` i didn't notice it.|She squinted at the tiny print, struggling to notice any irregularities on the page.
3185|notice|verb|make or write a comment on|comment.v.01|They refuse to mention or to notice that they are not there.|During the reading comprehension exercise, the teacher asked the students to notice and comment on the main idea of the text.
3186|telephone|noun|transmitting speech at a distance|telephone.n.02|`` if the day should ever come that foreign invaders swarm ashore along the gulf coast'', the account reads, `` they can count on heavy opposition from a group of commando trained telephone employees-all girls.|I called my grandparents on the telephone to wish them a happy anniversary.
3187|telephone|noun|transmitting speech at a distance|telephone.n.02|`` if the day should ever come that foreign invaders swarm ashore along the gulf coast'', the account reads, `` they can count on heavy opposition from a group of commando trained telephone employees-all girls.|I prefer to use telephone for long-distance communications with my grandparents.
3188|telephone|noun|transmitting speech at a distance|telephone.n.02|`` if the day should ever come that foreign invaders swarm ashore along the gulf coast'', the account reads, `` they can count on heavy opposition from a group of commando trained telephone employees-all girls.|They were able to communicate through a telephone in different parts of the building.
3189|telephone|noun|transmitting speech at a distance|telephone.n.02|`` if the day should ever come that foreign invaders swarm ashore along the gulf coast'', the account reads, `` they can count on heavy opposition from a group of commando trained telephone employees-all girls.|The army depended on the advanced military telephone system to transmit messages back and forth during the war.
3190|telephone|noun|transmitting speech at a distance|telephone.n.02|`` if the day should ever come that foreign invaders swarm ashore along the gulf coast'', the account reads, `` they can count on heavy opposition from a group of commando trained telephone employees-all girls.|The company sent a telegraph followed by a telephone to announce the important news.
3191|telephone|noun|transmitting speech at a distance|telephone.n.02|`` if the day should ever come that foreign invaders swarm ashore along the gulf coast'', the account reads, `` they can count on heavy opposition from a group of commando trained telephone employees-all girls.|I quickly made a telephone call to my friend to check how he was doing.
3192|telephone|noun|transmitting speech at a distance|telephone.n.02|`` if the day should ever come that foreign invaders swarm ashore along the gulf coast'', the account reads, `` they can count on heavy opposition from a group of commando trained telephone employees-all girls.|The telephone is a crucial device for facilitating remote communication in the modern world.
3193|telephone|noun|transmitting speech at a distance|telephone.n.02|`` if the day should ever come that foreign invaders swarm ashore along the gulf coast'', the account reads, `` they can count on heavy opposition from a group of commando trained telephone employees-all girls.|The telephone helped revolutionize long-distance communication.
3194|telephone|noun|transmitting speech at a distance|telephone.n.02|`` if the day should ever come that foreign invaders swarm ashore along the gulf coast'', the account reads, `` they can count on heavy opposition from a group of commando trained telephone employees-all girls.|I prefer to contact my grandpa on telephone.
3195|interrupt|verb|interfere in someone else's activity|interrupt.v.03|Please don't interrupt me while I'm on the phone|I was trying to concentrate on my work, but my coworker keeps interrupting me with pointless conversation.
3196|hear|verb|get to know or become aware of, usually accidentally|learn.v.02|So i have heard''.|I heard from a mutual friend that she got the job offer.
3197|hear|verb|get to know or become aware of, usually accidentally|learn.v.02|So i have heard''.|I've heard that they are getting married next month.
3198|hear|verb|get to know or become aware of, usually accidentally|learn.v.02|So i have heard''.|I hear that Sarah and John are getting a divorce.
3199|hear|verb|get to know or become aware of, usually accidentally|learn.v.02|So i have heard''.|I hear that the company is having financial difficulties.
3200|hear|verb|get to know or become aware of, usually accidentally|learn.v.02|So i have heard''.|I heard through the grapevine that Steve got a promotion.
3201|hear|verb|get to know or become aware of, usually accidentally|learn.v.02|So i have heard''.|I heard that you got a promotion at work! Congratulations!
3202|hear|verb|get to know or become aware of, usually accidentally|learn.v.02|So i have heard''.|I've been hearing rumors about the new project's budget constraints.
3203|hear|verb|get to know or become aware of, usually accidentally|learn.v.02|So i have heard''.|I've heard that they're planning to sell the company.
3204|hear|verb|get to know or become aware of, usually accidentally|learn.v.02|So i have heard''.|I heard from a reliable source that they're expecting a baby.
3205|hear|verb|get to know or become aware of, usually accidentally|learn.v.02|So i have heard''.|I heard from a friend that she's getting married next month.
3206|hear|verb|get to know or become aware of, usually accidentally|learn.v.02|So i have heard''.|I heard from a mutual friend that Jane and John are dating.
