index|lemma|human_readable_pos|definition|synset_key_name|example|new_sentence|v__human
759|pattern|noun|something intended as a guide for making something else|blueprint.n.01|a pattern for a skirt|She followed the sewing pattern to make a dress.|1
768|forward|adverb|forward in time or order or degree|forth.r.02|Goulding leaped to his feet and started forward, `` garryowen''! on his lips, his men following.|The conversation moved forward as they discussed the next steps to take in their project.|1
791|week|noun|hours or days of work in a calendar week|workweek.n.01|they worked a 40-hour week|I have eleven meetings scheduled this week.|1
839|carefully|adverb|as if with kid gloves; with caution or prudence or tact|cautiously.r.01|He took a long but carefully controlled draught.|She handled the antique vase very carefully to avoid any damages.|1
846|rest|noun|a support on which things can be put|rest.n.06|the gun was steadied on a special rest|The artisan sanded the curved vase by laying it on the rest of the woodworking lathe.|1
852|rest|noun|freedom from activity (work or strain or responsibility)|rest.n.02|He's getting plenty of rest''.|After her exhausting week at work, Maria decided to take the weekend off to enjoy some much-needed rest.|0
863|period|noun|the interval taken to complete one cycle of a regularly repeating phenomenon|period.n.02|The total picture is only seen by the camera which integrates the many sector scans over the entire 90-degree rotation period.|The period of the Earth's rotation on its axis is about 24 hours.|1
881|period|noun|the interval taken to complete one cycle of a regularly repeating phenomenon|period.n.02|The total picture is only seen by the camera which integrates the many sector scans over the entire 90-degree rotation period.|The Earth's orbital period around the sun is approximately 365 days.|1
918|certain|adjective|certain to occur; destined or inevitable; ; ; - Benjamin Franklin|certain.a.04|his fate is certain|I'm certain that the contract will be signed at the meeting tomorrow because all parties have agreed to the terms.|0
921|certain|adjective|certain to occur; destined or inevitable; ; ; - Benjamin Franklin|certain.a.04|his fate is certain|A civil unrest which contains discontent deliberately escalated through self-originated demonstrations ends in sharing of chaos as the certain end result.|1
932|productive|adjective|having the ability to produce or originate|generative.a.01|Debate in the political arena can be productive of good.|Collaboration within the team can be more productive over time and have desirable outcomes.|0
934|productive|adjective|yielding positive results|productive.s.03|Buffalo coach buster ramsey, who has become one of the game's greatest collectors of quarterbacks, apparently now has found a productive pair in two ex national football leaguers, m. c. reynolds and warren rabb.|The company's new marketing strategy has been very productive, resulting in a significant increase in sales.|1
935|watch|verb|observe with attention|watch.v.04|They watched as the murderer was executed|I love to watch the sunrise every day with my morning coffee.|1
936|watch|verb|observe with attention|watch.v.04|They watched as the murderer was executed|I love to watch the night sky for shooting stars.|1
938|operator|noun|someone who owns or operates a business|operator.n.03|who is the operator of this franchise?|The owner and operator of the restaurant greeted us with a warm smile.|1
939|operator|noun|someone who owns or operates a business|operator.n.03|who is the operator of this franchise?|The operator of the small coffee shop invests a lot of her personal time to ensure that her cafe runs smoothly.|1
941|operator|noun|an agent that operates some apparatus or machine|operator.n.02|the operator of the switchboard|The trained operator of the printing press skillfully adjusted its settings to produce high-quality prints.|1
943|operator|noun|a shrewd or unscrupulous person who knows how to circumvent difficulties|hustler.n.02|The medical device pirate of today, of course, is a far more sophisticated operator than his predecessor of yesteryear-the gallus snapping hawker of snake oil and other patent medicines.|The scam artist turned out to be quite the cunning operator, managing to convince his victims to part with their money without so much as a twitch of doubt.|1
944|guard|noun|a posture of defence in boxing or fencing|guard.n.04|keep your guard up|She took a measured breath and lifted her guard up as her opponent prepared to strike.|1
945|guard|noun|a device designed to prevent injury or accidents|guard.n.03|A slug had torn half of his stirrup guard away.|I'm going to need a wrist guard while hiking.|1
946|guard|noun|the person who plays that position on a football team|guard.n.02|the left guard was injured on the play|The coach was proud of his guard for blocking the defensive line and allowing a touchdown.|1
947|minimize|verb|represent as less significant or important|understate.v.01|(1) most of the realtors minimized their own understanding of and role in the racial issue, pleading that they only reflect the attitudes and intentions of their society.|The spokesman tried to minimize the impact of the company's poor earnings report on its overall performance.|1
953|careful|adjective|cautiously attentive|careful.s.02|careful of her feelings|Please be careful with that dish, it's been passed down from generations.|0
956|careful|adjective|cautiously attentive|careful.s.02|careful of her feelings|Be careful not to step on the flowers in the garden.|0
965|number|noun|a numeral or string of numerals that is used for identification|number.n.08|she refused to give them her Social Security number|I need your account number to access your information.|1
967|number|noun|a numeral or string of numerals that is used for identification|number.n.08|she refused to give them her Social Security number|My new employee number is 24567.|1
969|number|noun|a numeral or string of numerals that is used for identification|number.n.08|she refused to give them her Social Security number|The customer service representative asked for my account number to access my information.|1
970|number|noun|a numeral or string of numerals that is used for identification|number.n.08|she refused to give them her Social Security number|I can't remember my employee number for logging into the system.|1
974|total|adjective|complete in extent or degree and in every particular|full.s.03|a total eclipse|The wedding planner ensured the event was a total success by attending to every detail from the menu to the flowers.|1
981|total|adjective|complete in extent or degree and in every particular|full.s.03|a total eclipse|The total amount owed included not just the sticker price, but also taxes, fees, and other added expenses.|0
989|obligation|noun|the state of being obligated to do or pay something|obligation.n.02|he is under an obligation to finish the job|I have an obligation to pay my rent every month.|1
993|operate|verb|happen|operate.v.05|This is the primary function of the imagination operating in the absence of the original experiential stimulus by which the images were first appropriated.|The law of Murphy states that if something can go wrong, it will, and this seems to operate when you're in a hurry.|1
994|operate|verb|happen|operate.v.05|This is the primary function of the imagination operating in the absence of the original experiential stimulus by which the images were first appropriated.|The heating system won't operate until it undergoes maintenance and repairs.|0
995|check|verb|slow the growth or development of|check.v.07|The rise in sales last winter was checked when the government's new feed grain program was adopted; the program resulted in a cutback of around 20 % in planted acreage and, as a result, reduced the immediate need for machines.|The new restrictions will check further growth of the city's population.|1
996|check|verb|slow the growth or development of|check.v.07|The rise in sales last winter was checked when the government's new feed grain program was adopted; the program resulted in a cutback of around 20 % in planted acreage and, as a result, reduced the immediate need for machines.|The new regulations required to check the housing industry growth, resulting in slower development.|1
998|save|verb|retain rights to|keep_open.v.01|Jones, unhappy that the candidates were limited to eight minutes for a speech and no audience questions, saved his barbs for mitchell.|The singer made sure to explicitly express in her recording contract that she would save the rights to her original music.|0
1002|help|noun|a means of serving|avail.n.01|there's no help for it|If we can't find a solution, there's no help for it but to close the business.|1
1004|help|noun|a person who contributes to the fulfillment of a need or furtherance of an effort or purpose|assistant.n.01|they hired additional help to finish the work|I couldn't have completed this project without the help of my team.|0
1006|job|noun|the performance of a piece of work|job.n.06|he gave it up as a bad job|Despite her talent, her nervousness caused her to do a poor job on the final performance.|1
1011|job|noun|the performance of a piece of work|job.n.06|he gave it up as a bad job|Despite her fatigue, her job as an actress necessitated her to give a superbly entertaining performance.|0
1013|space|noun|a blank area|space.n.07|write your name in the space provided|I need more space to write my notes, can you give me another paper?|1
1014|space|noun|a blank area|space.n.07|write your name in the space provided|Be sure to leave enough space on the margins for binding when formatting your report.|1
1021|meeting|noun|the social act of assembling for some common purpose|meeting.n.04|his meeting with the salesmen was the high point of his day|Our daily stand-up meeting is a quick and effective way to keep everyone in sync.|1
1024|meeting|noun|a small informal social gathering|meeting.n.02|there was an informal meeting in my living room|We could have a meeting to catch up on everything that happened over the weekend.|1
1032|expense|noun|money spent to perform work and usually reimbursed by an employer|expense.n.03|he kept a careful record of his expenses at the meeting|The company refused to cover her travel expenses to the conference.|1
1033|expense|noun|money spent to perform work and usually reimbursed by an employer|expense.n.03|he kept a careful record of his expenses at the meeting|The company reimbursed Debbie for her business trip's expenses.|1
1034|expense|noun|money spent to perform work and usually reimbursed by an employer|expense.n.03|he kept a careful record of his expenses at the meeting|The advertising department requested a $500 budget for expenses related to the upcoming client luncheon.|1
1038|benefit|verb|be beneficial for|benefit.v.02|The filtered air benefits allergies, asthma, sinus, hay fever.|Regular exercise and a healthy diet can greatly benefit overall health.|1
1040|phase|noun|a particular point in the time of a cycle; measured from some arbitrary zero and expressed as an angle|phase.n.03|The infrared emission could then be assumed to originate at the surface of the moon, while the radio emission originates at some depth beneath the surface, where the temperature variation due to solar radiation is reduced in amplitude and shifted in phase.|The spacecraft completed its final phase of the mission at an angle of 135 degrees from its starting position.|0
1042|delegate|verb|give an assignment to (a person) to a post, or assign a task to (a person)|delegate.v.02|A member of the irsac staff (e. van de walle) was recently delegated to cooperate with aimo in the development of demographic statistics in this territory.|The manager decided to delegate the task of organizing the event to one of the interns.|1
1043|responsibility|noun|a form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's conduct|responsibility.n.03|he holds a position of great responsibility|As a manager, it is my responsibility to ensure my team remains productive and meets their targets while adhering to ethical conduct at all times.|0
1046|responsibility|noun|the proper sphere or extent of your activities|province.n.02|The policy officer lives with his antennae alerted for the questions which fall within his range of responsibility.|It is Director's responsibility to make important operational decisions well within the responsibly demarcated.|1
1049|club|noun|golf equipment used by a golfer to hit a golf ball|golf_club.n.02|`` it's kind of like golf-if you don't swing a club very often, your timing gets off''.|He swung his club and hit the ball straight down the fairway.|1
1052|partial|adjective|showing favoritism|partial.a.02|To guard against the tyranny of a numerical majority, calhoun developed his theory of `` concurrent majority'', which, he said, `` by giving to each portion of the community which may be unequally affected by the action of government, a negative on the others, prevents all partial or local legislation''.|I can tell from the way you favor certain clients that you are a partial judge of character.|1
1059|picture|noun|a graphic or vivid verbal description|word_picture.n.01|the author gives a depressing picture of life in Poland|The journalist painted a picture in her article of the harsh living conditions in the slums.|1
1081|team|noun|two or more draft animals that work together to pull something|team.n.02|Men crowded the streets and freight rigs and teams were moving about.|The farmer hitched his team of horses and plowed the field.|1
1112|help|verb|be of use|help.v.03|This will help to prevent accidents|Drinking water and staying hydrated can help your body function properly.|0
1133|trend|noun|general line of orientation|course.n.03|the northeastern trend of the coast|The survey suggests that there is a clear trend in travel preferences of millennials towards sustainable ecotourism destinations.|0
1156|local|adjective|of or belonging to or characteristic of a particular locality or neighborhood|local.a.02|local customs|The small local brewery makes beer that reflects the unique flavor of our hometown.|1
1178|provide|verb|determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation|provide.v.03|The Constitution provides for the right to free speech|The contract should provide details on what would happen in the event of a breach of agreement.|1
1262|public|adjective|affecting the people or community as a whole|public.s.02|the public welfare|Improper sanitation can be a threat to public health.|1
1296|assign|verb|attribute or give|put.v.04|From the point of view of syntactic analysis the head word in the statement is the predicator has broken, and from the point of view of meaning it would seem that the trouble centers in the breaking; but dominant stress will be assigned to broken only in rather exceptional versions of the sentence.|The responsibility to plan the event was assigned to the committee chairperson by the board of directors.|0
1301|more|adverb|comparative of much; to a greater degree or extent|more.r.02|he works more now|She's become more persistent in advocating for social justice causes over the past year.|0
1348|require|verb|have need of|want.v.02|A child probably requires some form of treatment if he has any of the following conditions :|New plants require a lot of sunlight in order to grow properly.|1
1369|month|noun|a time unit of approximately 30 days|month.n.02|he was given a month to pay the bill|She goes to meet her grandparents every other month.|0
1396|insist|verb|assert to be true|insist.v.03|Its spokesmen insist that there has not been time enough to institute reforms in military and economic aid policies in the critical areas.|I insist that I turned off the lights before I left the house.|1
1399|sale|noun|an occasion (usually brief) for buying at specially reduced prices|sale.n.03|they held a sale to reduce their inventory|I bought a great new pair of shoes at the summer sale for 50% off.|1
1403|retirement|noun|withdrawal from your position or occupation|retirement.n.02|Among them, according to the u. s. department of commerce, are : (1) shorter work weeks, (2) higher pay, (3) longer paid vacations, (4) better transportation, (5) earlier retirement, and (6) more education.|Sue welcomed her retirement after working at the company for 35 years.|1
1413|age|noun|a time of life (usually defined in years) at which some particular qualification or power arises|age.n.03|she was now of school age|He was of voting age and could now cast his first ballot.|1
1457|assure|verb|make a promise or commitment|promise.v.01|The kennedy administration had assured anti-castro cubans that it would have nothing to do with associates of dictator batista.|He assured his family that he would never betray them.|1
1459|old|adjective|(used for emphasis) very familiar|old.s.03|good old boy|My grandma used to make the best cookies, I could practically smell them now - they were made from her good old recipe.|1
1472|worker|noun|a member of the working class (not necessarily employed)|proletarian.n.01|workers of the world--unite!|The struggle between the capitalists and workers defined the 20th century in both Europe and America.|1
1513|doctor|noun|children take the roles of physician or patient or nurse and pretend they are at the physician's office|doctor.n.03|the children explored each other's bodies by playing the game of doctor|During their playtime, the siblings frequently act like doctor, patient, and nurse, diagnosing and treating each other's made-up illnesses.|1
1738|product|noun|a chemical substance formed as a result of a chemical reaction|product.n.04|a product of lime and nitric acid|The product of oxygen and hydrogen is water.|1
1741|fact|noun|a concept whose truth can be proved|fact.n.04|scientific hypotheses are not facts|The fact is that the Earth orbits around the sun, which was first proved by Galileo using a telescope.|1
1742|fact|noun|a concept whose truth can be proved|fact.n.04|scientific hypotheses are not facts|It's a commonly held fact that the Earth revolves around the Sun.|1
1764|difference|noun|a significant change|difference.n.04|the difference in her is amazing|The difference in his paintings since he began studying with his new mentor is palpable.|1
301|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|I highly recommend this book to anyone interested in learning about the history of the city.|1
137|cheap|adjective|tastelessly showy|brassy.s.02|Claire felt suddenly small and cheap, heroine of a trivial episode in the voluminous history of don juan.|I thought the decorations at the carnival were cheap and gaudy.|1
158|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|After years of dedicated training and practice, Eric developed an impeccable pitching technique.|1
367|try|verb|take a sample of|sample.v.01|Try these new crackers|Would you like to try our new ice cream flavors?|1
285|offer|verb|produce or introduce on the stage|offer.v.08|The Shakespeare Company is offering `King Lear' this month|The local theater company is set to offer a musical comedy next month.|1
219|excess|noun|immoderation as a consequence of going beyond sufficient or permitted limits|excess.n.02|Although the particular form of conceptualization which popular imagination had made in response to the experience of spirit was undoubtedly defective, the raw experience itself which led to such excesses remains with us as vividly as ever.|His excess of spending and lavish lifestyle eventually put him into a lot of debt.|1
140|communication|noun|something that is communicated by or to or between people or groups|communication.n.02|Mary would have to carry the human communication.|The email contained an urgent communication from the CEO announcing important changes coming to the company.|1
224|free|adjective|costing nothing|complimentary.s.02|free admission|The local museum offers free admission to all visitors on certain days of the week.|1
124|need|verb|have or feel a need for|need.v.03|always needing friends and money|She realizes now that she needs financial stability in her life.|1
274|government|noun|the act of governing; exercising authority|government.n.02|he had considerable experience of government|Good government entails listening to the people and ensuring their needs are met.|1
311|condition|noun|a mode of being or form of existence of a person or thing|condition.n.03|the human condition|Lack of proper healthcare highlights the vulnerable condition of many people in poverty.|1
118|reach|verb|place into the hands or custody of|pass.v.05|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.|I will reach you the document once I receive it.|1
169|substitute|verb|be a substitute|substitute.v.02|The young teacher had to substitute for the sick colleague|When the singer got sick, her protege had to substitute for her at the concert.|1
180|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|The ballerina captured the attention of the audience with her graceful attitude.|1
96|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|Please be specific with the details you provide in the report.|1
215|encourage|verb|inspire with confidence; give hope or courage to|encourage.v.02|Encourage them to exercise their benefits.|I will always encourage my children to pursue their dreams and never give up on themselves.|1
307|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|I highly recommend that new Thai restaurant downtown; the food was delicious!|1
135|cheap|adjective|of very poor quality; flimsy|bum.s.01|Perhaps it is only an analogy, but one of the most obvious differences between cheap fiction and fiction of an enduring quality is the development of a theme or story with leisure and anticipation.|I can feel the stitching coming undone on this cheap jacket.|1
146|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The dancer's flawless technique amazed the audience every time she performed.|1
373|try|verb|take a sample of|sample.v.01|Try these new crackers|I want you to try this amazing pizza.|1
284|offer|verb|produce or introduce on the stage|offer.v.08|The Shakespeare Company is offering `King Lear' this month|"The community theater group is offering a rendition of ""Grease"" for their latest production."|1
227|free|adjective|costing nothing|complimentary.s.02|free admission|I got two free tickets to the concert.|1
121|need|verb|have or feel a need for|need.v.03|always needing friends and money|I always need to have a hot cup of coffee in the morning.|1
276|government|noun|the act of governing; exercising authority|government.n.02|he had considerable experience of government|The success of a good government largely depends upon efficient governance and administration.|1
327|condition|noun|an assumption on which rests the validity or effect of something else|condition.n.02|This is what we mean when we say this demand must be accepted without condition.|The success of the project was dependent on the condition that all team members meet their deadlines.|1
117|reach|verb|place into the hands or custody of|pass.v.05|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.|The lawyer finally reached the custody of the documents to the court.|1
170|substitute|verb|be a substitute|substitute.v.02|The young teacher had to substitute for the sick colleague|My soccer team had to substitute our star player due to an injury.|0
179|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|Her attitude in the performance won her high praise from the audience.|1
99|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|The guidelines detailed specific measurements and materials needed for the project.|1
212|encourage|verb|inspire with confidence; give hope or courage to|encourage.v.02|Encourage them to exercise their benefits.|I try my best to encourage my students to believe in themselves and chase their dreams.|1
306|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|After reading the book, I would definitely recommend it to anyone who enjoys a good mystery.|1
134|cheap|adjective|of very poor quality; flimsy|bum.s.01|Perhaps it is only an analogy, but one of the most obvious differences between cheap fiction and fiction of an enduring quality is the development of a theme or story with leisure and anticipation.|I stepped on the cheap plastic toy and it was immediately crushed under my feet.|1
168|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The chef's mastery of chopping and seasoning was a testament to his technique.|1
370|try|verb|take a sample of|sample.v.01|Try these new crackers|Let me know if you'd like to try a sample of our new soap.|1
279|offer|verb|produce or introduce on the stage|offer.v.08|The Shakespeare Company is offering `King Lear' this month|"The theater group will offer a performance of the classic play ""Hamlet"" next month."|1
222|free|adjective|not occupied or in use|free.s.04|a free lane|The parking lot had a few free spaces available.|1
129|need|verb|have or feel a need for|need.v.03|always needing friends and money|I think I’m going to need a vacation after this hectic month.|1
254|government|noun|(government) the system or form by which a community or other political unit is governed|government.n.03|tyrannical government|People have suffered under corrupt government regimes throughout history.|1
323|condition|noun|information that should be kept in mind when making a decision|circumstance.n.03|His religious beliefs provide him with plausible explanations for many conditions which cause him great concern, and his religious faith makes possible fortitude, equanimity, and consolation, enabling him to endure colossal misfortune, fear, frustration, uncertainty, suffering, evil, and danger.|It is important to consider the condition of the economy when making financial decisions.|0
119|reach|verb|place into the hands or custody of|pass.v.05|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.|She reached the keys to her assistant and went out.|1
173|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|She struck her best attitude in response to the photographer's request.|1
288|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|My surgeon recommended I begin physical therapy to aid in my recovery.|0
162|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|With his flawless technique, the pianist left the entire audience mesmerized.|1
359|try|verb|put to the test, as for its quality, or give experimental use to|test.v.01|This approach has been tried with good results|I am going to try this new recipe for dinner and see how it turns out.|1
282|offer|verb|produce or introduce on the stage|offer.v.08|The Shakespeare Company is offering `King Lear' this month|The experimental theater group is planning to offer a new play revolving around climate change this summer.|1
230|free|adjective|unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion|free.a.02|free oxygen|That sample of gas contains free oxygen that can readily participate in chemical reactions.|1
126|need|verb|have or feel a need for|need.v.03|always needing friends and money|I can tell she needs affection from the way she hugs her cat.|1
247|government|noun|(government) the system or form by which a community or other political unit is governed|government.n.03|tyrannical government|The citizens held protests over their disagreement with the current government.|0
331|condition|noun|an assumption on which rests the validity or effect of something else|condition.n.02|This is what we mean when we say this demand must be accepted without condition.|The success of the project is dependent on the condition that all stakeholders fulfill their respective roles appropriately.|1
115|reach|verb|place into the hands or custody of|pass.v.05|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.|He reached the ownership of the house over to his sister.|1
249|government|noun|(government) the system or form by which a community or other political unit is governed|government.n.03|tyrannical government|As a student of political science, I've come across many cases where a shift to democratic government brought prosperity and stability to a country.|1
109|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|The recipe called for specific measurements of each ingredient.|1
225|free|adjective|costing nothing|complimentary.s.02|free admission|The concert was so outstanding that all the tickets were sold out a few days earlier, but luckily we found two free passes on the radio.|1
330|condition|noun|an assumption on which rests the validity or effect of something else|condition.n.02|This is what we mean when we say this demand must be accepted without condition.|The success of the project was placed on the condition that all team members meet their deadlines.|1
303|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|My professor recommended Jane for the scholarship because of her excellent academic record and hard work in the field.|1
186|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|Her ballet teacher corrected her attitude to improve her form.|1
120|need|verb|have or feel a need for|need.v.03|always needing friends and money|Lucy is constantly nagging her husband, as she always needs attention.|1
154|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|She demonstrated flawless snowboarding technique after years of training and mastering the fundamentals.|1
31|become|verb|come into existence|become.v.03|What becomes has duration|After the construction of the bridge, a new tourist spot became development in the town.|0
374|try|verb|take a sample of|sample.v.01|Try these new crackers|Can I try a piece of your sandwich?|1
280|offer|verb|produce or introduce on the stage|offer.v.08|The Shakespeare Company is offering `King Lear' this month|The local theater group is offering a new play by a contemporary writer next season.|1
112|reach|verb|place into the hands or custody of|pass.v.05|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.|The receptionist will reach the package to you as soon as it arrives.|1
238|government|noun|(government) the system or form by which a community or other political unit is governed|government.n.03|tyrannical government|The proposed changes aim to create a more democratic form of government.|1
228|free|adjective|unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion|free.a.02|free oxygen|The free oxygen rose to the top of the container.|1
319|condition|noun|information that should be kept in mind when making a decision|circumstance.n.03|His religious beliefs provide him with plausible explanations for many conditions which cause him great concern, and his religious faith makes possible fortitude, equanimity, and consolation, enabling him to endure colossal misfortune, fear, frustration, uncertainty, suffering, evil, and danger.|Before making any hasty decisions, take into consideration the condition of the economy.|0
299|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|My doctor recommended Dr. Jones, who he spoke highly of, for my surgery.|1
174|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|During the performance, the ballerina nailed the difficult jumps and struck the perfect attitude for applause.|1
127|need|verb|have or feel a need for|need.v.03|always needing friends and money|I always need to have a cup of coffee in the morning to start my day.|1
147|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|Jack developed excellent pitching technique through endless hours of dedicated practice and hard work, giving him an edge over his competitors.|1
350|try|verb|put to the test, as for its quality, or give experimental use to|test.v.01|This approach has been tried with good results|I want to try the new facial serum before ordering more for my clients.|1
293|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|Eminent doctors recommended this healthcare product for optimal health.|1
521|pay|verb|cancel or discharge a debt|pay_up.v.01|pay up, please!|I finally received the payment he owed me after asking several times for him to pay up.|1
193|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|The yoga teacher corrected my attitude during the meditation.|1
437|sure|adjective|reliable in operation or effect|certain.s.06|a sure way to distinguish the two|Wearing comfortable shoes with arch support is a sure way to reduce foot pain.|1
149|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The pianist's flawless technique stunned the audience and left them in awe.|1
226|free|adjective|costing nothing|complimentary.s.02|free admission|The movie theater is offering free popcorn with the purchase of a ticket.|1
314|condition|noun|a mode of being or form of existence of a person or thing|condition.n.03|the human condition|The condition of homelessness is a harsh reality for many people around the world.|1
214|encourage|verb|inspire with confidence; give hope or courage to|encourage.v.02|Encourage them to exercise their benefits.|The teacher always tried to encourage her students to pursue their dreams and never give up.|1
375|try|verb|take a sample of|sample.v.01|Try these new crackers|Can I try a slice of that delicious-looking cake, please?|1
463|hour|noun|clock time|hour.n.02|the hour is getting late|He arrived at six o'clock hour, just in time for dinner.|1
424|effectiveness|noun|capacity to produce strong physiological or chemical effects|potency.n.02|All comments concerning effectiveness and use of drugs have been carefully reviewed by a veterinary medical officer with fda.|Increasing the dosage of the medication may diminish its effectiveness against the virus.|1
278|offer|verb|produce or introduce on the stage|offer.v.08|The Shakespeare Company is offering `King Lear' this month|"The local theater company is planning to offer a modern reinterpretation of the classic play ""Hamlet"" next season."|1
125|need|verb|have or feel a need for|need.v.03|always needing friends and money|She is always needing affirmation from others to feel valued.|1
431|union|noun|the act of pairing a male and female for reproductive purposes|coupling.n.03|There is general agreement also that sex union between husbands and wives as an expression of mutual affection without relation to procreation is right''.|The union between the male and female leads to the creation of a new life.|1
490|cost|noun|value measured by what must be given or done or undergone to obtain something|price.n.03|the cost in human life was enormous|The cost of winning the championship was countless hours of practice and hard work.|1
246|government|noun|(government) the system or form by which a community or other political unit is governed|government.n.03|tyrannical government|The indigenous tribes had their own unique form of government that was based on communal decision-making and resource sharing.|1
446|cent|noun|a coin worth one-hundredth of the value of the basic unit|penny.n.02|There i was a retired wobbly and structural iron worker who'd never gouged a cent off a fellow worker in my thirty years in the movement.|She dropped a cent onto the ground and watched it roll away.|1
291|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|The restaurant was highly recommended by the food critic for their exceptional dessert selection.|1
524|pay|verb|convey, as of a compliment, regards, attention, etc.; bestow|give.v.05|pay attention|Let me pay my sincere compliments to your admirable work ethic.|1
188|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|The yoga instructor corrected her attitude in the middle of the pose to make it more effective.|1
439|sure|adjective|reliable in operation or effect|certain.s.06|a sure way to distinguish the two|Training and practice are sure ways to improve your skills in any sport.|1
153|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The chef's knife-cutting technique had improved significantly over the years with plenty of practice and familiarity with the skills.|1
229|free|adjective|unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion|free.a.02|free oxygen|The oxygen molecule is considered to be free because it is unconstrained and not chemically bound.|1
315|condition|noun|a mode of being or form of existence of a person or thing|condition.n.03|the human condition|The condition of being an artist inspired her to travel around the world in search of valuable experiences and aesthetics.|1
413|try|verb|put on trial or hear a case and sit as the judge at the trial of|judge.v.05|The football star was tried for the murder of his wife|The jury will be under tremendous pressure as they try the most high-profile case in the state's history.|1
464|hour|noun|clock time|hour.n.02|the hour is getting late|I'll meet you at the restaurant at seven o'clock, which is less than an hour away.|0
422|effectiveness|noun|capacity to produce strong physiological or chemical effects|potency.n.02|All comments concerning effectiveness and use of drugs have been carefully reviewed by a veterinary medical officer with fda.|The effectiveness of this pesticide is higher than that of the other one in controlling the pests.|1
286|offer|verb|produce or introduce on the stage|offer.v.08|The Shakespeare Company is offering `King Lear' this month|The local theater is offering a new play next weekend.|1
435|union|noun|the act of pairing a male and female for reproductive purposes|coupling.n.03|There is general agreement also that sex union between husbands and wives as an expression of mutual affection without relation to procreation is right''.|The union of two distinct species in an attempt to produce fertile offspring often proves illogical and the aim of constant disillusion.|1
494|cost|noun|value measured by what must be given or done or undergone to obtain something|price.n.03|the cost in human life was enormous|The cost of success is always hard work and dedication.|1
275|government|noun|the act of governing; exercising authority|government.n.02|he had considerable experience of government|Her leadership skills were enchanced after years of government.|1
444|cent|noun|a coin worth one-hundredth of the value of the basic unit|penny.n.02|There i was a retired wobbly and structural iron worker who'd never gouged a cent off a fellow worker in my thirty years in the movement.|I found a shiny penny on the sidewalk and picked it up with excitement since it is worth one cent.|0
